Amount,No. coins used,Time taken
1,1,0.0004
2,2,0.0003
3,3,0.00032
4,4,0.00032
5,5,0.00032
6,6,0.00036
7,7,0.00042
8,8,0.00038
9,9,0.00044
10,1,0.00024
11,2,0.00028
12,3,0.0003
13,4,0.0003
14,5,0.00036
15,6,0.00042
16,7,0.0004
17,8,0.00048
18,9,0.00044
19,10,0.00048
20,2,0.00026
21,3,0.00028
22,4,0.00032
23,5,0.00032
24,6,0.00038
25,7,0.00038
26,8,0.00048
27,9,0.00044
28,10,0.00046
29,11,0.0005
30,3,0.00028
31,4,0.00028
32,5,0.00038
33,6,0.00038
34,7,0.00046
35,8,0.0004
36,9,0.00046
37,10,0.00054
38,11,0.0005
39,12,0.00054
40,4,0.00036
41,5,0.00036
42,6,0.00036
43,7,0.00042
44,8,0.00048
45,9,0.00044
46,10,0.00048
47,11,0.00048
48,12,0.00048
49,13,0.00052
50,5,0.00032
51,6,0.00034
52,7,0.00038
53,8,0.00046
54,9,0.00044
55,10,0.00046
56,11,0.00046
57,12,0.0005
58,13,0.00058
59,14,0.00058
60,6,0.00044
61,7,0.00038
62,8,0.00046
63,9,0.00044
64,10,0.00044
65,11,0.00046
66,12,0.00054
67,13,0.00052
68,14,0.00056
69,15,0.00056
70,7,0.0004
71,8,0.00038
72,9,0.00046
73,10,0.00044
74,11,0.00052
75,12,0.0005
76,13,0.00052
77,14,0.0006
78,15,0.0006
79,16,0.00062
80,8,0.00046
81,9,0.00046
82,10,0.0005
83,11,0.00052
84,12,0.00056
85,13,0.00056
86,14,0.00056
87,15,0.00058
88,16,0.00062
89,17,0.00062
90,9,0.00044
91,10,0.00048
92,11,0.00048
93,12,0.00052
94,13,0.00288
95,14,0.00054
96,15,0.0006
97,16,0.0006
98,17,0.0006
99,18,0.00068
100,1,0.00028
101,2,0.0003
102,3,0.00028
103,4,0.00032
104,5,0.00036
105,6,0.0004
106,7,0.0004
107,8,0.00038
108,9,0.00044
109,10,0.00044
110,2,0.00026
111,3,0.00038
112,4,0.0003
113,5,0.00036
114,6,0.00038
115,7,0.0004
116,8,0.00048
117,9,0.00044
118,10,0.0005
119,11,0.00054
120,3,0.00032
121,4,0.00034
122,5,0.00036
123,6,0.0004
124,7,0.00044
125,8,0.0004
126,9,0.00042
127,10,0.00044
128,11,0.00048
129,12,0.00052
130,4,0.00038
131,5,0.00032
132,6,0.00036
133,7,0.00042
134,8,0.00042
135,9,0.00052
136,10,0.00048
137,11,0.00054
138,12,0.00054
139,13,0.00054
140,5,0.00036
141,6,0.00036
142,7,0.00044
143,8,0.00044
144,9,0.00044
145,10,0.0005
146,11,0.00054
147,12,0.0005
148,13,0.0005
149,14,0.00058
150,6,0.00038
151,7,0.0004
152,8,0.00042
153,9,0.00042
154,10,0.0005
155,11,0.00048
156,12,0.00052
157,13,0.00054
158,14,0.00058
159,15,0.00058
160,7,0.00036
161,8,0.00042
162,9,0.00046
163,10,0.00046
164,11,0.0005
165,12,0.00052
166,13,0.00054
167,14,0.00056
168,15,0.00062
169,16,0.0006
170,8,0.00042
171,9,0.0004
172,10,0.00046
173,11,0.0005
174,12,0.00054
175,13,0.00052
176,14,0.00056
177,15,0.00058
178,16,0.0006
179,17,0.00064
180,9,0.00044
181,10,0.00044
182,11,0.00056
183,12,0.00054
184,13,0.00056
185,14,0.00056
186,15,0.0006
187,16,0.00062
188,17,0.00064
189,18,0.00064
190,10,0.00046
191,11,0.00048
192,12,0.00052
193,13,0.00054
194,14,0.0006
195,15,0.00058
196,16,0.00066
197,17,0.00064
198,18,0.00064
199,19,0.00072
200,2,0.00034
201,3,0.00028
202,4,0.0003
203,5,0.00036
204,6,0.00034
205,7,0.00038
206,8,0.00046
207,9,0.00042
208,10,0.0005
209,11,0.00048
210,3,0.00038
211,4,0.00036
212,5,0.00034
213,6,0.0004
214,7,0.0004
215,8,0.00044
216,9,0.00044
217,10,0.00048
218,11,0.00048
219,12,0.00054
220,4,0.00034
221,5,0.0003
222,6,0.00042
223,7,0.0004
224,8,0.00044
225,9,0.00042
226,10,0.0005
227,11,0.0005
228,12,0.00052
229,13,0.0005
230,5,0.00038
231,6,0.00036
232,7,0.00038
233,8,0.0005
234,9,0.00046
235,10,0.00048
236,11,0.00048
237,12,0.00054
238,13,0.00052
239,14,0.00058
240,6,0.0004
241,7,0.00038
242,8,0.0004
243,9,0.00046
244,10,0.00054
245,11,0.00048
246,12,0.0005
247,13,0.00054
248,14,0.00054
249,15,0.0006
250,7,0.00044
251,8,0.00044
252,9,0.00044
253,10,0.00048
254,11,0.00048
255,12,0.00052
256,13,0.00052
257,14,0.00054
258,15,0.00058
259,16,0.00064
260,8,0.00038
261,9,0.00042
262,10,0.00044
263,11,0.00052
