Amount,No. coins used,Time taken
1,1,0.0008
2,2,0.00046
3,3,0.00032
4,4,0.00034
5,1,0.00024
6,2,0.00028
7,3,0.00028
8,4,0.00034
9,5,0.00036
10,1,0.00024
11,2,0.00028
12,3,0.00028
13,4,0.00032
14,5,0.00032
15,2,0.00032
16,3,0.00024
17,4,0.0003
18,5,0.00036
19,6,0.00034
20,2,0.00026
21,3,0.00034
22,4,0.0003
23,5,0.00036
24,6,0.00044
25,1,0.00022
26,2,0.0003
27,3,0.00032
28,4,0.00036
29,5,0.00034
30,2,0.00026
31,3,0.00032
32,4,0.00034
33,5,0.00034
34,6,0.00038
35,2,0.00026
36,3,0.00028
37,4,0.00032
38,5,0.00036
39,6,0.00038
40,3,0.00034
41,4,0.00026
42,5,0.00034
43,6,0.0004
44,7,0.0004
45,3,0.00034
46,4,0.00034
47,5,0.00038
48,6,0.00046
49,7,0.00044
50,2,0.00034
51,3,0.00034
52,4,0.00036
53,5,0.00038
54,6,0.00044
55,3,0.00028
56,4,0.00028
57,5,0.0004
58,6,0.00032
59,7,0.00038
60,3,0.0003
61,4,0.00028
62,5,0.00034
63,6,0.0004
64,7,0.00038
65,4,0.00028
66,5,0.00032
67,6,0.00038
68,7,0.00036
69,8,0.00042
70,4,0.00034
71,5,0.00034
72,6,0.0004
73,7,0.00034
74,8,0.00038
75,3,0.0003
76,4,0.00032
77,5,0.00038
78,6,0.0004
79,7,0.00042
80,4,0.00032
81,5,0.00034
82,6,0.00042
83,7,0.0004
84,8,0.00038
85,4,0.00032
86,5,0.00036
87,6,0.00038
88,7,0.00036
89,8,0.0004
90,5,0.0003
91,6,0.00034
92,7,0.00038
93,8,0.0004
94,9,0.00044
95,5,0.00038
96,6,0.00038
97,7,0.00038
98,8,0.00044
99,9,0.00046
100,4,0.00032
101,5,0.00034
102,6,0.00038
103,7,0.00038
104,8,0.0004
105,5,0.00032
106,6,0.00036
107,7,0.00036
108,8,0.00046
109,9,0.00044
110,5,0.00034
111,6,0.00036
112,7,0.00038
113,8,0.00274
114,9,0.0004
115,6,0.00032
116,7,0.00038
117,8,0.0004
118,9,0.00044
119,10,0.0005
120,6,0.0004
121,7,0.00034
122,8,0.0004
123,9,0.00044
124,10,0.00044
125,5,0.00036
126,6,0.00032
127,7,0.0004
128,8,0.00038
129,9,0.00044
130,6,0.00036
131,7,0.00032
132,8,0.0004
133,9,0.0004
134,10,0.00044
135,6,0.00034
136,7,0.00036
137,8,0.00042
138,9,0.00046
139,10,0.00044
140,7,0.00034
141,8,0.00038
142,9,0.00042
143,10,0.0005
144,11,0.00048
145,7,0.00036
146,8,0.00042
147,9,0.00082
148,10,0.00046
149,11,0.0005
150,6,0.00044
151,7,0.00042
152,8,0.00038
153,9,0.00044
154,10,0.00048
155,7,0.00034
156,8,0.0004
157,9,0.0004
158,10,0.00048
159,11,0.00048
160,7,0.00042
161,8,0.00044
162,9,0.00044
163,10,0.00046
164,11,0.00048
165,8,0.0004
166,9,0.0004
167,10,0.00044
168,11,0.00056
169,12,0.0005
170,8,0.00042
171,9,0.00042
172,10,0.00048
173,11,0.00046
174,12,0.00046
175,7,0.0004
176,8,0.00042
177,9,0.00048
178,10,0.00048
179,11,0.00048
180,8,0.00038
181,9,0.00042
182,10,0.00048
183,11,0.0005
184,12,0.00052
185,8,0.00042
186,9,0.00044
187,10,0.00046
188,11,0.0005
189,12,0.0005
190,9,0.0004
191,10,0.00046
192,11,0.00046
193,12,0.00054
194,13,0.00052
195,9,0.00046
196,10,0.00044
197,11,0.00046
198,12,0.00046
199,13,0.0005
200,8,0.00042
201,9,0.00044
202,10,0.00046
203,11,0.00048
204,12,0.00052
205,9,0.00044
206,10,0.00046
207,11,0.00048
208,12,0.0005
209,13,0.00052
210,9,0.00044
211,10,0.00048
212,11,0.0005
213,12,0.00052
214,13,0.00052
215,10,0.00042
216,11,0.00048
217,12,0.0005
218,13,0.0005
219,14,0.00058
220,10,0.00048
221,11,0.00046
222,12,0.0005
223,13,0.00054
224,14,0.00052
225,9,0.00046
226,10,0.00048
227,11,0.0005
228,12,0.0005
229,13,0.00052
230,10,0.00046
231,11,0.00052
232,12,0.00048
233,13,0.00054
234,14,0.00058
235,10,0.00046
236,11,0.00052
237,12,0.0005
238,13,0.00052
239,14,0.00054
240,11,0.0005
241,12,0.0005
242,13,0.00052
243,14,0.00056
244,15,0.00058
245,11,0.0005
246,12,0.0005
247,13,0.00052
248,14,0.00056
249,15,0.00058
250,10,0.00048
251,11,0.00048
252,12,0.00052
253,13,0.00052
254,14,0.00054
255,11,0.0005
256,12,0.00046
257,13,0.00058
258,14,0.00056
259,15,0.00056
260,11,0.00046
261,12,0.0005
262,13,0.0005
263,14,0.00058
264,15,0.00058
265,12,0.00056
266,13,0.00052
267,14,0.00056
268,15,0.00054
269,16,0.00058
270,12,0.00054
271,13,0.0005
272,14,0.00058
273,15,0.00056
274,16,0.00056
275,11,0.00046
276,12,0.00052
277,13,0.00054
278,14,0.00058
279,15,0.00058
280,12,0.00052
281,13,0.00054
282,14,0.0006
283,15,0.00058
284,16,0.00064
285,12,0.0005
286,13,0.00054
287,14,0.0005
288,15,0.00066
289,16,0.00062
290,13,0.0005
291,14,0.00056
292,15,0.0006
293,16,0.00064
294,17,0.00064
295,13,0.00052
296,14,0.00056
297,15,0.00058
298,16,0.0006
299,17,0.00066
